Generation,Best,Average,Worst
1,4240.695,4997.611,5547.540
2,4134.902,4884.191,5447.441
3,4134.902,4782.226,5436.787
4,4134.902,4686.080,5321.879
5,3990.834,4603.673,5163.038
6,3990.834,4531.307,5071.586
7,3902.612,4481.730,5048.046
8,3743.833,4430.085,5081.606
9,3738.212,4381.688,4952.706
10,3738.212,4332.791,4861.174
11,3712.401,4308.555,5031.601
12,3712.401,4279.850,4816.045
13,3689.347,4260.593,4779.055
14,3647.882,4220.120,4846.325
15,3643.900,4185.089,4758.767
16,3508.178,4145.345,4748.013
17,3508.178,4119.177,4728.690
18,3508.178,4087.836,4699.950
19,3402.634,4055.170,4651.617
20,3402.634,4035.910,4600.728
21,3402.634,4018.869,4625.637
22,3402.634,4013.323,4562.208
23,3379.934,4018.367,4605.053
24,3379.934,4004.473,4538.491
25,3365.583,3975.632,4557.156
26,3365.583,3960.029,4577.447
27,3294.527,3951.044,4503.913
28,3294.527,3939.791,4415.192
29,3294.527,3911.654,4516.781
30,3294.527,3905.837,4532.108
31,3202.266,3881.944,4414.252
32,3202.266,3866.041,4484.131
33,3202.266,3852.542,4456.012
34,3202.266,3850.662,4460.463
35,3202.266,3828.440,4359.753
36,3200.356,3811.596,4361.013
37,3153.612,3796.929,4426.731
38,3093.170,3782.348,4333.499
39,3077.964,3776.066,4357.392
40,3077.964,3779.070,4387.527
41,3077.964,3766.356,4304.722
42,3077.964,3756.084,4312.126
43,3077.964,3748.595,4344.163
44,3077.964,3744.327,4285.947
45,3077.964,3733.286,4260.299
46,3077.964,3726.944,4239.285
47,3077.964,3719.893,4359.023
48,3077.964,3714.725,4377.928
49,3077.964,3713.721,4337.258
50,3039.581,3700.474,4222.742
51,3039.581,3699.038,4237.696
52,3039.581,3683.237,4213.005
53,3039.581,3678.406,4220.002
54,3039.581,3672.179,4316.303
55,3039.581,3664.463,4213.666
56,3039.581,3664.006,4334.680
57,3039.581,3657.155,4283.473
58,3039.581,3656.206,4242.355
59,3039.581,3654.718,4295.902
60,3039.581,3640.295,4119.732
61,2971.814,3640.923,4155.544
62,2971.814,3631.874,4223.926
63,2971.814,3610.208,4170.673
64,2971.814,3590.809,4183.641
65,2971.814,3597.895,4283.691
66,2971.814,3601.062,4196.948
67,2971.814,3603.821,4179.035
68,2971.814,3609.837,4148.950
69,2958.832,3616.705,4206.456
70,2958.832,3608.976,4244.809
71,2958.832,3619.490,4199.936
72,2958.832,3619.879,4268.952
73,2958.832,3617.065,4176.603
74,2958.832,3608.049,4225.802
75,2958.832,3617.890,4285.583
76,2958.832,3621.246,4220.328
77,2955.331,3627.725,4234.871
78,2955.331,3623.515,4176.704
79,2955.331,3613.762,4308.714
80,2933.480,3610.538,4218.817
81,2933.480,3598.174,4171.311
82,2933.480,3606.002,4226.078
83,2933.480,3616.294,4136.614
84,2933.480,3625.535,4237.078
85,2933.480,3602.369,4159.906
86,2875.741,3602.318,4146.096
87,2875.741,3612.192,4169.552
88,2875.741,3618.947,4244.573
89,2875.741,3634.398,4246.746
90,2875.741,3626.254,4173.820
91,2875.741,3612.560,4239.146
92,2875.741,3607.556,4333.585
93,2875.741,3603.021,4164.396
94,2875.741,3599.111,4192.420
95,2875.741,3598.274,4229.056
96,2875.741,3611.294,4143.467
97,2875.741,3612.438,4185.837
98,2875.741,3605.837,4349.200
99,2875.741,3609.883,4279.030
100,2875.741,3615.604,4226.987
101,2875.741,3605.960,4284.893
102,2875.741,3599.399,4195.505
103,2835.624,3592.360,4254.917
104,2835.624,3574.474,4300.748
105,2835.624,3577.771,4298.400
106,2835.624,3570.760,4117.702
107,2835.624,3575.430,4120.023
108,2835.624,3571.900,4148.839
109,2835.624,3571.128,4135.494
110,2835.624,3568.987,4128.918
111,2807.830,3546.540,4131.589
112,2807.830,3545.633,4172.938
113,2807.830,3537.735,4129.106
114,2807.830,3541.621,4183.945
115,2807.830,3544.475,4179.751
116,2807.830,3533.798,4100.043
117,2777.335,3547.136,4038.533
118,2777.335,3552.737,4133.042
119,2777.335,3527.177,4122.453
120,2777.335,3510.874,4080.115
121,2777.335,3497.709,4056.188
122,2777.335,3490.843,4073.762
123,2777.335,3492.782,4121.021
124,2777.335,3482.480,4146.358
125,2777.335,3475.708,4056.356
126,2777.335,3455.220,4116.448
127,2777.335,3456.069,4107.272
128,2777.335,3462.360,3961.047
129,2777.335,3464.236,4087.119
130,2777.335,3474.319,4121.990
131,2741.480,3471.058,4053.030
132,2741.480,3452.100,4001.458
133,2741.480,3425.055,3968.687
134,2741.480,3414.143,4018.801
135,2741.480,3408.490,3973.862
136,2741.480,3397.434,3880.258
137,2741.480,3400.801,4056.399
138,2741.480,3397.324,3908.284
139,2741.480,3399.914,4049.250
140,2741.480,3397.381,4038.041
141,2741.480,3399.958,4004.872
142,2741.480,3392.415,3984.487
143,2741.480,3382.402,3957.408
144,2741.480,3382.752,4090.145
145,2741.480,3374.681,3944.945
146,2741.480,3366.344,3943.101
147,2696.378,3365.678,3914.543
148,2696.378,3347.166,4000.153
149,2696.378,3339.624,3912.539
150,2696.378,3342.296,3849.204
151,2696.378,3338.415,3855.441
152,2696.378,3339.155,3889.315
153,2696.378,3335.644,3899.964
154,2696.378,3333.677,3847.785
155,2696.378,3326.933,3913.425
156,2696.378,3322.165,3987.499
157,2696.378,3337.130,4067.818
158,2696.378,3335.849,3863.537
159,2696.378,3343.876,3916.785
160,2696.378,3351.479,3904.673
161,2696.378,3359.727,3894.955
162,2606.255,3363.024,3994.490
163,2606.255,3361.937,3901.399
164,2606.255,3346.647,3868.621
165,2606.255,3334.488,3890.917
166,2606.255,3334.517,3885.544
167,2606.255,3335.912,3850.175
168,2606.255,3334.822,3811.247
169,2606.255,3335.436,3891.499
170,2606.255,3326.414,3831.092
171,2606.255,3325.917,3932.284
172,2606.255,3322.368,3890.177
173,2606.255,3334.653,3996.591
174,2606.255,3339.412,3894.135
175,2606.255,3344.258,3871.166
176,2606.255,3340.841,3907.796
177,2606.255,3337.709,3984.499
178,2606.255,3338.237,3904.003
179,2606.255,3335.703,3862.986
180,2606.255,3355.070,3940.298
181,2606.255,3359.007,3879.515
182,2606.255,3363.000,3955.445
183,2606.255,3364.518,3898.644
184,2606.255,3378.260,3939.355
185,2606.255,3367.983,3950.943
186,2606.255,3360.218,3955.643
187,2606.255,3346.572,3944.237
188,2606.255,3334.022,3881.866
189,2606.255,3332.977,3798.631
190,2606.255,3340.333,3859.421
191,2606.255,3339.547,3878.306
192,2606.255,3342.123,3935.239
193,2606.255,3337.928,3898.129
194,2606.255,3338.456,3851.308
195,2606.255,3326.079,3931.482
196,2606.255,3309.039,3831.519
197,2606.255,3288.754,3809.763
198,2606.255,3282.090,3797.475
199,2606.255,3284.629,3837.900
200,2606.255,3290.490,3871.888
201,2606.255,3278.528,3897.670
202,2606.255,3275.382,3795.098
203,2606.255,3271.263,3779.914
204,2552.382,3254.864,3796.880
205,2552.382,3230.654,3841.254
206,2552.382,3226.453,3772.514
207,2552.382,3230.553,3785.769
208,2552.382,3233.351,3838.930
209,2552.382,3227.089,3811.605
210,2552.382,3228.304,3713.290
211,2552.382,3232.415,3772.643
212,2552.382,3228.629,3780.955
213,2552.382,3232.320,3752.637
214,2552.382,3221.252,3732.866
215,2552.382,3226.227,3746.633
216,2552.382,3228.714,3779.933
217,2552.382,3227.979,3753.302
218,2552.382,3233.970,3693.415
219,2552.382,3233.026,3800.390
220,2552.382,3232.818,3797.854
221,2552.382,3237.546,3818.790
222,2552.382,3225.436,3752.741
223,2552.382,3229.536,3825.101
224,2552.382,3209.000,3856.241
225,2552.382,3204.828,3718.306
226,2552.382,3190.468,3743.151
227,2552.382,3192.150,3864.138
228,2552.382,3174.163,3685.965
229,2552.382,3161.355,3699.340
230,2543.842,3163.247,3713.456
231,2526.843,3158.160,3717.540
232,2522.519,3160.571,3694.126
233,2522.519,3162.922,3660.913
234,2522.519,3164.480,3732.861
235,2522.519,3154.480,3647.247
236,2522.519,3159.508,3639.107
237,2520.134,3174.611,3729.975
238,2520.134,3169.609,3699.536
239,2477.528,3163.606,3686.850
240,2477.528,3150.069,3838.855
241,2477.528,3137.899,3650.004
242,2477.528,3134.656,3669.132
243,2477.528,3128.816,3615.908
244,2477.528,3148.064,3808.218
245,2477.528,3159.187,3718.689
246,2477.528,3157.567,3725.586
247,2477.528,3157.919,3711.519
248,2477.528,3163.827,3766.481
249,2477.528,3153.558,3692.427
250,2477.528,3163.162,3705.067
251,2477.528,3167.224,3718.037
252,2477.528,3164.768,3745.664
253,2477.528,3154.786,3752.443
254,2477.528,3146.846,3794.834
255,2477.528,3151.355,3728.287
256,2454.722,3160.145,3714.700
257,2454.722,3154.136,3699.881
258,2454.722,3140.392,3681.824
259,2454.722,3143.164,3696.802
260,2454.722,3139.255,3616.039
261,2454.722,3140.830,3690.074
262,2454.722,3135.473,3688.647
263,2454.722,3142.816,3711.990
264,2454.722,3150.837,3675.352
265,2454.722,3156.986,3653.037
266,2454.722,3168.550,3694.597
267,2454.722,3185.909,3691.140
268,2454.722,3193.297,3855.965
269,2454.722,3205.400,3809.252
270,2454.722,3203.225,3729.102
271,2454.722,3202.800,3695.098
272,2454.722,3201.355,3822.695
273,2454.722,3208.244,3697.027
274,2454.722,3196.001,3766.734
275,2454.722,3183.179,3800.133
276,2454.722,3171.134,3729.531
277,2454.722,3155.979,3708.340
278,2454.722,3145.189,3653.151
279,2454.722,3141.848,3813.706
280,2454.722,3143.668,3668.957
281,2454.722,3144.828,3714.669
282,2454.722,3156.683,3811.243
283,2454.722,3155.272,3739.270
284,2454.722,3155.334,3672.593
285,2454.722,3154.883,3689.835
286,2454.722,3147.146,3744.747
287,2454.722,3155.825,3735.934
288,2454.722,3154.086,3695.500
289,2454.722,3147.354,3696.615
290,2454.722,3149.882,3756.231
291,2454.722,3148.008,3712.644
292,2454.722,3143.167,3643.071
293,2454.722,3138.250,3716.524
294,2454.722,3125.592,3846.826
295,2454.722,3135.430,3640.876
296,2454.722,3131.845,3697.988
297,2450.547,3134.771,3687.763
298,2450.547,3138.185,3728.368
299,2450.547,3144.937,3732.686
300,2450.547,3151.847,3632.964
301,2450.547,3159.713,3678.540
302,2450.547,3169.896,3812.362
303,2450.547,3176.363,3904.809
304,2450.547,3183.237,3778.600
305,2450.547,3194.960,3835.543
306,2450.547,3217.494,3767.986
307,2450.547,3248.743,3869.053
308,2450.547,3253.272,3799.032
309,2450.547,3255.160,3784.315
310,2450.547,3270.046,3873.300
311,2450.547,3273.133,3984.887
312,2450.547,3269.531,3911.397
313,2450.547,3272.185,3879.943
314,2450.547,3274.976,3824.333
315,2450.547,3288.455,3858.995
316,2450.547,3282.394,3809.339
317,2450.547,3271.465,3819.451
318,2450.547,3268.760,3884.446
319,2450.547,3268.288,3829.572
320,2450.547,3257.873,3830.840
321,2450.547,3269.877,3808.174
322,2450.547,3279.657,3837.721
323,2450.547,3284.761,3849.717
324,2450.547,3288.031,3889.697
325,2450.547,3283.295,3904.941
326,2450.547,3262.402,3830.283
327,2450.547,3233.340,3866.979
328,2450.547,3215.316,3815.086
329,2450.547,3202.419,3774.859
330,2450.547,3215.057,3794.056
331,2450.547,3215.694,3819.688
332,2450.547,3210.651,3753.569
333,2450.547,3214.477,3824.537
334,2450.547,3228.294,3798.227
335,2450.547,3232.421,3852.538
336,2450.547,3239.868,3889.374
337,2450.547,3232.576,3783.896
338,2450.547,3235.243,3800.068
339,2442.645,3243.665,3929.574
340,2442.645,3227.803,3934.063
341,2382.699,3195.545,3855.093
342,2382.699,3159.060,3825.701
343,2382.699,3121.196,3744.771
344,2382.699,3077.176,3652.806
345,2382.699,3060.909,3678.624
346,2382.699,3038.741,3666.251
347,2382.699,3021.039,3585.491
348,2382.699,3011.985,3553.009
349,2382.699,3015.027,3525.618
350,2382.699,3009.993,3570.819
351,2382.699,3017.041,3613.416
352,2382.699,3012.716,3630.603
353,2382.699,3031.584,3573.513
354,2382.699,3037.950,3595.551
355,2382.699,3050.030,3557.584
356,2382.699,3067.420,3571.894
357,2382.699,3085.768,3625.294
358,2382.699,3099.640,3678.304
359,2382.699,3099.123,3646.877
360,2382.699,3098.341,3636.340
361,2382.699,3094.523,3626.037
362,2382.699,3091.955,3637.191
363,2382.699,3083.794,3706.197
364,2382.699,3082.087,3613.144
365,2382.699,3100.439,3666.457
366,2382.699,3107.783,3705.721
367,2382.699,3107.397,3657.695
368,2382.699,3105.333,3635.489
369,2382.699,3114.671,3628.689
370,2382.699,3118.272,3763.603
371,2382.699,3113.437,3602.027
372,2382.699,3111.270,3677.233
373,2382.699,3107.607,3672.368
374,2382.699,3082.465,3611.924
375,2382.699,3067.852,3726.007
376,2382.699,3048.351,3608.165
377,2382.699,3044.079,3683.207
378,2382.699,3030.582,3571.556
379,2382.699,3002.399,3636.313
380,2382.699,3007.424,3612.727
381,2382.699,2999.027,3603.784
382,2382.699,2992.581,3600.783
383,2382.699,2998.802,3588.892
384,2382.699,3003.751,3532.458
385,2382.699,3010.968,3496.041
386,2382.699,3016.171,3575.426
387,2382.699,3021.386,3507.649
388,2382.699,3024.293,3453.719
389,2382.699,3033.254,3569.689
390,2382.699,3041.130,3643.504
391,2382.699,3051.267,3597.152
392,2382.699,3072.618,3617.418
393,2382.699,3081.081,3627.934
394,2382.699,3103.427,3626.600
395,2382.699,3104.358,3600.734
396,2382.699,3114.220,3667.449
397,2382.699,3106.528,3673.000
398,2382.699,3104.403,3703.973
399,2382.699,3098.202,3622.461
400,2382.699,3099.239,3624.872
401,2382.699,3104.960,3624.836
402,2382.699,3110.681,3795.256
403,2382.699,3118.495,3698.308
404,2382.699,3120.724,3738.908
405,2382.699,3119.875,3635.175
406,2382.699,3126.578,3779.742
407,2382.699,3132.494,3626.355
408,2382.699,3139.798,3701.444
409,2382.699,3133.789,3674.027
410,2382.699,3133.752,3760.239
411,2382.699,3132.874,3704.061
412,2382.699,3117.706,3776.098
413,2382.699,3110.145,3648.100
414,2382.699,3102.304,3647.199
415,2382.699,3115.378,3626.986
416,2382.699,3108.891,3638.867
417,2382.699,3118.490,3609.730
418,2382.699,3120.226,3637.404
419,2382.699,3117.188,3719.139
420,2382.699,3137.397,3703.856
421,2382.699,3127.763,3705.645
422,2382.699,3112.808,3705.670
423,2382.699,3104.523,3752.385
424,2382.699,3092.333,3709.157
425,2382.699,3084.464,3656.813
426,2382.699,3081.129,3621.803
427,2382.699,3082.934,3571.052
428,2382.699,3080.986,3684.237
429,2382.699,3088.216,3665.737
430,2382.699,3096.670,3654.072
431,2382.699,3107.383,3893.497
432,2382.699,3112.935,3711.326
433,2382.699,3118.700,3667.507
434,2382.699,3118.808,3728.640
435,2382.699,3130.890,3670.313
436,2382.699,3136.379,3698.096
437,2382.699,3148.803,3682.920
438,2382.699,3148.045,3687.126
439,2382.699,3136.102,3769.618
440,2382.699,3127.219,3727.931
441,2382.699,3120.973,3684.133
442,2382.699,3104.819,3752.558
443,2382.699,3109.402,3620.417
444,2382.699,3110.679,3702.138
445,2382.699,3116.037,3645.299
446,2382.699,3103.583,3647.584
447,2382.699,3088.530,3748.727
448,2382.699,3081.867,3620.692
449,2382.699,3074.506,3654.248
450,2382.699,3064.746,3580.010
451,2382.699,3064.139,3608.483
452,2382.699,3056.455,3560.577
453,2382.699,3064.242,3695.468
454,2382.699,3079.169,3645.610
455,2382.699,3078.823,3618.119
456,2382.699,3073.920,3663.189
457,2382.699,3078.544,3600.110
458,2382.699,3071.070,3567.618
459,2382.699,3063.918,3614.606
460,2382.699,3058.564,3557.771
461,2382.699,3044.727,3694.404
462,2382.699,3038.180,3617.852
463,2382.699,3035.416,3627.389
464,2382.699,3044.280,3611.482
465,2382.699,3054.774,3586.859
466,2382.699,3051.450,3542.736
467,2382.699,3051.262,3562.627
468,2353.878,3069.342,3524.451
469,2353.878,3080.885,3610.100
470,2325.797,3086.716,3578.737
471,2325.797,3092.102,3652.242
472,2325.797,3073.862,3647.189
473,2325.797,3075.474,3687.260
474,2325.797,3064.205,3551.720
475,2325.797,3062.650,3622.666
476,2325.797,3058.500,3599.026
477,2325.797,3060.516,3573.164
478,2325.797,3046.628,3609.511
479,2325.797,3038.389,3694.914
480,2325.797,3024.424,3666.019
481,2325.797,3008.685,3535.395
482,2325.797,2991.585,3415.971
483,2325.797,2970.234,3464.334
484,2325.797,2960.064,3486.764
485,2325.797,2959.807,3416.576
486,2325.797,2958.983,3473.241
487,2325.797,2984.541,3530.768
488,2293.983,2984.776,3443.978
489,2293.983,2996.605,3581.429
490,2293.983,2994.220,3468.134
491,2293.983,2990.442,3564.082
492,2293.983,2980.990,3531.708
493,2293.983,2976.173,3415.329
494,2293.983,2978.118,3660.061
495,2293.983,2986.823,3533.846
496,2293.983,3000.935,3507.847
497,2293.983,2998.651,3536.334
498,2293.983,3001.911,3537.559
499,2293.983,3012.049,3594.529
500,2293.983,3017.324,3560.967
